002  00333 |Loss: 0.612 | Acc: 69.000% 
002  00334 |Loss: 0.657 | Acc: 67.000% 
002  00335 |Loss: 0.672 | Acc: 65.000% 
002  00336 |Loss: 0.677 | Acc: 65.000% 
002  00337 |Loss: 0.689 | Acc: 65.000% 
002  00338 |Loss: 0.704 | Acc: 63.000% 
002  00339 |Loss: 0.692 | Acc: 65.000% 
002  00340 |Loss: 0.683 | Acc: 65.000% 
002  00341 |Loss: 0.685 | Acc: 64.000% 
002  00342 |Loss: 0.674 | Acc: 65.000% 
002  00343 |Loss: 0.668 | Acc: 66.000% 
002  00344 |Loss: 0.696 | Acc: 65.000% 
002  00345 |Loss: 0.680 | Acc: 65.000% 
002  00346 |Loss: 0.665 | Acc: 66.000% 
002  00347 |Loss: 0.675 | Acc: 66.000% 
002  00348 |Loss: 0.705 | Acc: 65.000% 
002  00349 |Loss: 0.703 | Acc: 65.000% 
002  00350 |Loss: 0.721 | Acc: 64.000% 
002  00351 |Loss: 0.709 | Acc: 65.000% 
002  00352 |Loss: 0.713 | Acc: 65.000% 
002  00353 |Loss: 0.707 | Acc: 65.000% 
002  00354 |Loss: 0.719 | Acc: 63.000% 
002  00355 |Loss: 0.721 | Acc: 63.000% 
002  00356 |Loss: 0.720 | Acc: 62.000% 
002  00357 |Loss: 0.720 | Acc: 62.000% 
002  00358 |Loss: 0.717 | Acc: 62.000% 
002  00359 |Loss: 0.714 | Acc: 63.000% 
002  00360 |Loss: 0.711 | Acc: 63.000% 
002  00361 |Loss: 0.703 | Acc: 63.000% 
002  00362 |Loss: 0.699 | Acc: 64.000% 
002  00363 |Loss: 0.723 | Acc: 62.000% 
002  00364 |Loss: 0.726 | Acc: 62.000% 
002  00365 |Loss: 0.729 | Acc: 62.000% 
002  00366 |Loss: 0.725 | Acc: 62.000% 
002  00367 |Loss: 0.726 | Acc: 62.000% 
002  00368 |Loss: 0.729 | Acc: 62.000% 
002  00369 |Loss: 0.726 | Acc: 62.000% 
002  00370 |Loss: 0.724 | Acc: 62.000% 
002  00371 |Loss: 0.723 | Acc: 62.000% 
002  00372 |Loss: 0.722 | Acc: 61.000% 
002  00373 |Loss: 0.725 | Acc: 60.000% 
002  00374 |Loss: 0.725 | Acc: 60.000% 
002  00375 |Loss: 0.726 | Acc: 60.000% 
002  00376 |Loss: 0.723 | Acc: 60.000% 
002  00377 |Loss: 0.722 | Acc: 60.000% 
002  00378 |Loss: 0.715 | Acc: 60.000% 
002  00379 |Loss: 0.709 | Acc: 61.000% 
002  00380 |Loss: 0.715 | Acc: 60.000% 
002  00381 |Loss: 0.720 | Acc: 60.000% 
002  00382 |Loss: 0.718 | Acc: 60.000% 
002  00383 |Loss: 0.725 | Acc: 60.000% 
002  00384 |Loss: 0.725 | Acc: 60.000% 
002  00385 |Loss: 0.720 | Acc: 60.000% 
002  00386 |Loss: 0.717 | Acc: 61.000% 
002  00387 |Loss: 0.718 | Acc: 60.000% 
002  00388 |Loss: 0.716 | Acc: 61.000% 
002  00389 |Loss: 0.716 | Acc: 60.000% 
002  00390 |Loss: 0.714 | Acc: 61.000% 
002  00391 |Loss: 0.712 | Acc: 60.000% 
002  00392 |Loss: 0.714 | Acc: 60.000% 
002  00393 |Loss: 0.718 | Acc: 61.000% 
002  00394 |Loss: 0.727 | Acc: 60.000% 
002  00395 |Loss: 0.724 | Acc: 60.000% 
002  00396 |Loss: 0.721 | Acc: 60.000% 
002  00397 |Loss: 0.720 | Acc: 60.000% 
002  00398 |Loss: 0.725 | Acc: 59.000% 
002  00399 |Loss: 0.729 | Acc: 59.000% 
002  00400 |Loss: 0.727 | Acc: 59.000% 
002  00401 |Loss: 0.728 | Acc: 59.000% 
002  00402 |Loss: 0.729 | Acc: 59.000% 
002  00403 |Loss: 0.728 | Acc: 59.000% 
002  00404 |Loss: 0.724 | Acc: 59.000% 
002  00405 |Loss: 0.728 | Acc: 59.000% 
002  00406 |Loss: 0.728 | Acc: 59.000% 
002  00407 |Loss: 0.737 | Acc: 59.000% 
002  00408 |Loss: 0.744 | Acc: 58.000% 
002  00409 |Loss: 0.754 | Acc: 58.000% 
002  00410 |Loss: 0.751 | Acc: 58.000% 
002  00411 |Loss: 0.754 | Acc: 58.000% 
002  00412 |Loss: 0.754 | Acc: 58.000% 
002  00413 |Loss: 0.754 | Acc: 58.000% 
002  00414 |Loss: 0.753 | Acc: 58.000% 
002  00415 |Loss: 0.753 | Acc: 58.000% 
